1‭,",‬Brokeback Mountain was so awesome‭.‬"
0‭,",""‬Oh‭, ‬and Brokeback Mountain was a terrible movie‭.‬"""
0‭,","", ‬she helped me bobbypin my insanely cool hat to my head‭, ‬and she laughed at my stupid brokeback mountain cowboy jokes‭..‬"""
1‭,",‬i love kirsten‭ / ‬leah‭ / ‬kate escapades and mission impossible tom as well‭...‬"
1‭,",‬I am going to start reading the Harry Potter series again because that is one awesome story‭.‬"
1‭,",‬the people who are worth it know how much i love the da vinci code‭.‬"
0‭,",""‬Da Vinci Code‭ = ‬Up‭, ‬Up‭, ‬Down‭, ‬Down‭, ‬Left‭, ‬Right‭, ‬Left‭, ‬Right‭, ‬B‭, ‬A‭, ‬SUCK‭!‬"""
0‭,",‬da vinci code sucks‭...‬"
1‭,",‬The Da Vinci Code is awesome‭..‬"
1‭,",‬The Da Vinci Code was absolutely AWESOME‭!‬"
1‭,",‬mission impossible 2‭ ‬rocks‭!!....‬"
1‭,",""‬I‭, ‬too‭, ‬like Harry Potter‭..‬"""
1‭,",‬I loved Brokeback Mountain‭.‬"
1‭,",‬I love Harry Potter‭..‬"
0‭,",‬These Harry Potter movies really suck‭.‬"
1‭,",‬the last stand and Mission Impossible 3‭ ‬both were awesome movies‭.‬"
1‭,",‬The Da Vinci Code is awesome‭..‬"
0‭,",‬I hate Harry Potter‭.‬"
1‭,",‬I love Harry Potter‭..‬"
1‭,",‬man i loved brokeback mountain‭!‬"
0‭,",‬I hate Harry Potter‭.‬"
0‭,",‬My dad's being stupid about brokeback mountain‭...‬"
1‭,",‬I love Harry Potter‭.‬"
1‭,",‬the last stand and Mission Impossible 3‭ ‬both were awesome movies‭.‬"
1‭,",""‬I love the Harry Potter series if you can count that as‭ """" ‬a‭ """" ‬book‭, ‬also Catcher In the Tye‭, ‬Jane Eyre‭, ‬The Virgin Suicides‭, ‬yeah‭...‬"""
1‭,",‬i love kirsten‭ / ‬leah‭ / ‬kate escapades and mission impossible tom as well‭...‬"
0‭,",‬Brokeback Mountain is fucking horrible‭..‬"
1‭,",‬I love Harry Potter‭..‬"
1‭,",""‬Because I would like to make friends who like the same things I like‭, ‬and I really like Harry Potter‭, ‬so I thought that joining a community like this would be a good start‭.‬"""
0‭,",‬The Da Vinci Code sucked big time‭.‬"
0‭,",""‬Harry Potter dragged Draco Malfoy‭ ‬قÄô s trousers down past his hips and sucked him into his throat with vigor‭, ‬making whimpering noises and panting and groaning around the blonds rock-hard‭, ‬aching cock‭...‬"""
0‭,",""‬I hate Harry Potter‭, ‬it's retarted‭, ‬gay and stupid and there's only one Black guy‭...‬"""
